Drug	Target
D02617	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D02618	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D02622	DRD2 [HSA:1813] [KO:K04145]
D02623	DRD2 [HSA:1813] [KO:K04145]
D02624	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D02625	DRD2 [HSA:1813] [KO:K04145]
D02626	DRD2 [HSA:1813] [KO:K04145]
D02627	DRD2 [HSA:1813] [KO:K04145]
D02630	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
D02631	SLC29A1 (ENT1) [HSA:2030] [KO:K15014]
D02632	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D02633	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
D02634	DRD2 [HSA:1813] [KO:K04145]
D02640	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D02641	DRD1 [HSA:1812] [KO:K04144]
	DRD2 [HSA:1813] [KO:K04145]
D02644	DRD1 [HSA:1812] [KO:K04144]
	DRD2 [HSA:1813] [KO:K04145]
D02645	DRD2 [HSA:1813] [KO:K04145]
D02655	PDE4 [HSA:5141 5142 5143 5144] [KO:K13293]
D02656	HTR2A [HSA:3356] [KO:K04157]
	DRD4 [HSA:1815] [KO:K04147]
D02664	CSF1R (FMS, CD115) [HSA:1436] [KO:K05090]
D02666	DRD2 [HSA:1813] [KO:K04145]
	HTR2 [HSA:3356 3357 3358] [KO:K04157]
D02670	DRD2 [HSA:1813] [KO:K04145]
D02671	DRD2 [HSA:1813] [KO:K04145]
	HTR2A [HSA:3356] [KO:K04157]
D02675	DRD2 [HSA:1813] [KO:K04145]
	HTR2 [HSA:3356 3357 3358] [KO:K04157]
D02676	DRD [HSA:1812 1813 1814 1815 1816] [KO:K04144 K04145 K04146 K04147 K05840]
D02680	DRD2 [HSA:1813] [KO:K04145]
	DRD1 [HSA:1812] [KO:K04144]
	HTR2A [HSA:3356] [KO:K04157]
	HTR1A [HSA:3350] [KO:K04153]
D02681	DRD2 [HSA:1813] [KO:K04145]
D02682	DRD2 [HSA:1813] [KO:K04145]
D02683	DRD2 [HSA:1813] [KO:K04145]
D02684	SIGMAR1 [HSA:10280] [KO:K20719]
D02686	HTR2 [HSA:3356 3357 3358] [KO:K04157]
D02688	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	DRD2 [HSA:1813] [KO:K04145]
	HTR1A [HSA:3350] [KO:K04153]
	HTR6 [HSA:3362] [KO:K04162]
	SIGMAR1 [HSA:10280] [KO:K20719]
D02689	MTNR1 [HSA:4543 4544] [KO:K04285 K04286]
D02690	Bile acid [CPD:C01558]
D02691	GHR [HSA:2690] [KO:K05080]
D02692	LHCGR [HSA:3973] [KO:K04248]
	FSHR [HSA:2492] [KO:K04247]
D02693	CCKAR [HSA:886] [KO:K04194]
D02696	GRIA [HSA:2890 2891 2892 2893] [KO:K05197 K05198 K05199 K05200]
D02697	TOP2 [HSA:7153 7155] [KO:K03164]
D02698	TOP2 [HSA:7153 7155] [KO:K03164]
D02702	ADRB3 [HSA:155] [KO:K04143]
D02704	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
D02705	PTGER1 [HSA:5731] [KO:K04258]
D02709	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D02710	CCKAR [HSA:886] [KO:K04194]
D02711	penicillin binding protein
D02714	MTOR [HSA:2475] [KO:K07203]
D02716	CACNA2D [HSA:781 9254 55799 93589] [KO:K04858 K04859 K04860 K04861]
D02719	PTGFR [HSA:5737] [KO:K04262]
D02720	PTGIR [HSA:5739] [KO:K04263]
D02721	PTGIR [HSA:5739] [KO:K04263]
D02722	PTGER1 [HSA:5731] [KO:K04258]
D02723	PTGER1 [HSA:5731] [KO:K04258]
D02724	PTGFR [HSA:5737] [KO:K04262]
D02725	PTGER2 [HSA:5732] [KO:K04259]
D02726	PTGER2 [HSA:5732] [KO:K04259]
D02727	PTGFR [HSA:5737] [KO:K04262]
D02729	DRD2 [HSA:1813] [KO:K04145]
	ACHE [HSA:43] [KO:K01049]
D02730	HTR4 [HSA:3360] [KO:K04160]
D02731	PDE5 [HSA:8654] [KO:K13762]
D02732	CYSLTR1 [HSA:10800] [KO:K04322]
D02734	HIV-1 reverse transcriptase [KO:K24802]
D02735	SNAP25 [HSA:6616] [KO:K18211]
D02736	HCMV IE2 [KO:K22775] (mRNA)
D02737	RSV F protein [KO:K19261]
D02738	GNRHR [HSA:2798] [KO:K04280]
D02739	CYSLTR1 [HSA:10800] [KO:K04322]
D02741	CYSLTR1 [HSA:10800] [KO:K04322]
D02743	IL2RA (CD25) [HSA:3559] [KO:K05068]
	IL2RB (CD122) [HSA:3560] [KO:K05069]
	IL2RG (CD132) [HSA:3561] [KO:K05070]
D02744	IFNAR1 [HSA:3454] [KO:K05130]
	IFNAR2 [HSA:3455] [KO:K05131]
D02745	IFNAR1 [HSA:3454] [KO:K05130]
	IFNAR2 [HSA:3455] [KO:K05131]
D02747	IFNAR1 [HSA:3454] [KO:K05130]
	IFNAR2 [HSA:3455] [KO:K05131]
D02748	IFNAR1 [HSA:3454] [KO:K05130]
	IFNAR2 [HSA:3455] [KO:K05131]
D02749	IL2RA (CD25) [HSA:3559] [KO:K05068]
	IL2RB (CD122) [HSA:3560] [KO:K05069]
	IL2RG (CD132) [HSA:3561] [KO:K05070]
D02750	CHRM1 [HSA:1128] [KO:K04129]
D02754	NR1B (RAR) [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]
	NR2B (RXR) [HSA:6256 6257 6258] [KO:K08524 K08525 K08526]
D02755	GGT [HSA:2678 2687 124975 2686] [KO:K18592 K00681]
D02756	TOP1 [HSA:7150] [KO:K03163]
	TOP2 [HSA:7153 7155] [KO:K03164]
D02758	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D02760	HRH1 [HSA:3269] [KO:K04149]
D02762	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D02764	Herpesvirus DNA polymerase [KO:K18964]
D02765	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D02767	HTR1A [HSA:3350] [KO:K04153]
	HTR2 [HSA:3356 3357 3358] [KO:K04157]
D02768	HBV reverse transcriptase [KO:K21037]
D02769	ADORA [HSA:134 135 136 140] [KO:K04265 K04266 K04267 K04268]
D02770	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D02771	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D02773	DNA
D02774	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
D02775	DRD1 [HSA:1812] [KO:K04144]
D02778	ITGA2B/ITGB3 [HSA:3674 3690] [KO:K06476 K06493]
D02780	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906] [KO:K05208 K05209 K05210 K05211 K05212]
D02783	HPV E2 [KO:K21811] (mRNA)
D02784	GLA* [HSA_VAR:2717v1] [HSA:2717] [KO:K01189]
D02787	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
D02800	CD58 (LFA3) [HSA:965] [KO:K06492]
D02801	MLNR [HSA:2862] [KO:K05266]
D02802	CD52 [HSA:1043] [KO:K06488]
D02810	GBA* [HSA_VAR:2629v1] [HSA:2629] [KO:K01201]
D02811	ICAM1 (CD54) [HSA:3383] [KO:K06490] (mRNA)
D02815	NR2B (RXR) [HSA:6256 6257 6258] [KO:K08524 K08525 K08526]
	NR1B (RAR) [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]
D02818	transient receptor potential channel A1 [KO:K04984]
D02824	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D02825	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D02826	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D02829	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D02830	HIV-1 reverse transcriptase [KO:K24802]
D02833	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D02834	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D02835	AKR1B1 [HSA:231] [KO:K00011]
D02836	HTR2A [HSA:3356] [KO:K04157]
D02839	CHRNA4/CHRNB2 [HSA:1137 1141] [KO:K04806 K04813]
D02840	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D02846	CYSLTR1 [HSA:10800] [KO:K04322]
D02848	CYSLTR1 [HSA:10800] [KO:K04322]
D02849	CYSLTR1 [HSA:10800] [KO:K04322]
D02850	CYSLTR1 [HSA:10800] [KO:K04322]
D02851	CYSLTR1 [HSA:10800] [KO:K04322]
D02860	PTGER1 [HSA:5731] [KO:K04258]
D02861	HIV protease [KO:K22599]
D02867	HIV protease [KO:K22599]
D02876	CHRM1 [HSA:1128] [KO:K04129]
	CHRM2 [HSA:1129] [KO:K04130]
	CHRM3 [HSA:1131] [KO:K04131]
D02878	OPRM1 [HSA:4988] [KO:K04215]
D02880	CDK1 [HSA:983] [KO:K02087]
	CDK2 [HSA:1017] [KO:K02206]
	CDK4 [HSA:1019] [KO:K02089]
	CDK6 [HSA:1021] [KO:K02091]
	CDK7 [HSA:1022] [KO:K02202]
D02881	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D02888	penicillin binding protein
D02889	penicillin binding protein
D02890	HIV-1 reverse transcriptase [KO:K24802]
D02893	HTR2A [HSA:3356] [KO:K04157]
	HTR2C [HSA:3358] [KO:K04157]
D02896	XDH [HSA:7498] [KO:K00106]
D02897	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
D02901	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
D02906	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D02907	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D02910	KCND3 [HSA:3752] [KO:K04893]
	KCNH2 [HSA:3757] [KO:K04905]
	KCNQ1 [HSA:3784] [KO:K04926]
	KCNJ3 [HSA:3760] [KO:K04997]
	KCNJ5 [HSA:3762] [KO:K04999]
	KCNJ8 [HSA:3764] [KO:K05001]
	KCNJ11 [HSA:3767] [KO:K05004]
	KCNJ12 [HSA:3768] [KO:K05005]
	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRB1 [HSA:153] [KO:K04141]
	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D02914	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D02922	histamine N-methyltransferase (HNMT) [KO:K00546]
D02923	squalene epoxidase [KO:K00511]
D02925	penicillin binding protein
D02927	dolichol-phosphate mannosyltransferase [KO:K00721]
D02933	PDE3 [HSA:5139 5140] [KO:K19021 K13296]
D02934	IL1R (CD121) [HSA:3554 7850] [KO:K04386 K04387]
D02935	NPR [HSA:4881 4882] [KO:K12323 K12324]
D02937	KIT (CD117) [HSA:3815] [KO:K05091]
D02939	AGTR1 [HSA:185] [KO:K04166]
	AGTR2 [HSA:186] [KO:K04167]
D02941	OPRM1 [HSA:4988] [KO:K04215]
D02942	OPRM1 [HSA:4988] [KO:K04215]
D02950	HRH1 [HSA:3269] [KO:K04149]
D02956	SERPINC1 (AT3) [HSA:462] [KO:K03911]
D02964	ADORA1 [HSA:134] [KO:K04265]
D02965	DNA
D02967	HLA-DRB [HSA:3123 3125 3126 3127] [KO:K06752]
D02968	TACR1 (NK1R) [HSA:6869] [KO:K04222]
D02969	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D02970	PRKCA [HSA:5578] [KO:K02677] (mRNA)
D02972	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D02973	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906] [KO:K05208 K05209 K05210 K05211 K05212]
D02975	PTGER2 [HSA:5732] [KO:K04259]
D02976	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D02977	CEACAM [HSA:1048 1084 1087 1088 1089 4680 634 90273] [KO:K06499]
	MUC1 (CD227) [HSA:4582] [KO:K06568]
D02979	TNFSF13B (BAFF, CD257) [HSA:10673] [KO:K05476]
D02980	SERPINC1 (AT3) [HSA:462] [KO:K03911]
	SERPIND1 [HSA:3053] [KO:K03912]
D02981	ADRB2 [HSA:154] [KO:K04142]
D02983	AVPR1 [HSA:552 553] [KO:K04226 K04227]
	AVPR2 [HSA:554] [KO:K04228]
D02985	PDE4 [HSA:5141 5142 5143 5144] [KO:K13293]
D02991	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D02993	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D02994	CD20 [HSA:931] [KO:K06466]
D02995	HTR1A [HSA:3350] [KO:K04153]
	HTR2A [HSA:3356] [KO:K04157]
	HTR2C [HSA:3358] [KO:K04157]
	HTR6 [HSA:3362] [KO:K04162]
	HTR7 [HSA:3363] [KO:K04163]
	DRD2 [HSA:1813] [KO:K04145]
D02996	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D03001	HIV-1 reverse transcriptase [KO:K24802]
D03002	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D03005	HTR2A [HSA:3356] [KO:K04157]
D03008	OXTR [HSA:5021] [KO:K04229]
D03009	EDNRA [HSA:1909] [KO:K04197]
D03010	ALOX5 [HSA:240] [KO:K00461]
D03011	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D03012	SOAT [HSA:6646 8435] [KO:K00637]
D03014	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D03020	GBA* [HSA_VAR:2629v1] [HSA:2629] [KO:K01201]
D03021	DNMT [HSA:1786 1788 1789] [KO:K00558 K17398 K17399]
D03023	sterol 14alpha-demethylase [KO:K05917]
D03025	CYP51A1 [HSA:1595] [KO:K05917]
D03034	thioredoxin reductase [KO:K00384]
D03036	DNA
D03037	KCNH2 [HSA:3757] [KO:K04905]
	KCNQ1 [HSA:3784] [KO:K04926]
D03039	penicillin binding protein
D03046	DNA polymerase
D03047	undecaprenyl-diphosphate phosphatase [KO:K06153 K19302]
D03048	undecaprenyl-diphosphate phosphatase [KO:K06153 K19302]
D03051	ADORA1 [HSA:134] [KO:K04265]
D03056	HRH1 [HSA:3269] [KO:K04149]
D03058	IL2RA (CD25) [HSA:3559] [KO:K05068]
D03059	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D03060	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D03061	MMP2 [HSA:4313] [KO:K01398]
	MMP9 [HSA:4318] [KO:K01403]
D03062	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D03065	PDGFRB [HSA:5159] [KO:K05089]
D03066	CD22 (SIGLEC2) [HSA:933] [KO:K06467]
D03067	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D03068	TNFSF13B (BAFF, CD257) [HSA:10673] [KO:K05476]
D03073	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D03075	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D03076	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D03077	ACE (CD143) [HSA:1636] [KO:K01283]
D03079	NR3C4 (AR) [HSA:367] [KO:K08557]
D03080	ALOX5 [HSA:240] [KO:K00461]
D03082	DDC [HSA:1644] [KO:K01593]
D03086	urease [KO:K01428 K01429 K01430]
D03087	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D03088	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D03090	DNA
D03095	FCER1A [HSA:2205] [KO:K08089]
	FCER1G [HSA:2207] [KO:K07983]
D03098	50S ribosomal subunit
D03100	GRIN2B (NMDAR2B) [HSA:2904] [KO:K05210]
D03102	HRH1 [HSA:3269] [KO:K04149]
	HRH3 [HSA:11255] [KO:K04151]
D03106	NR2B (RXR) [HSA:6256 6257 6258] [KO:K08524 K08525 K08526]
D03107	SRD5A1 [HSA:6715] [KO:K12343]
D03111	fibrin
D03114	SEL [HSA:6401 6402 6403] [KO:K06494 K06495 K06496]
D03115	ROCK [HSA:6093 9475] [KO:K04514 K17388]
D03116	CCL2 [HSA:6347] [KO:K14624]
D03117	IL4 [HSA:3565] [KO:K05430]
D03120	ADORA2A [HSA:135] [KO:K04266]
D03121	HTR1A [HSA:3350] [KO:K04153]
D03128	ABCB1 (CD243) [HSA:5243] [KO:K05658]
D03132	DNA
D03136	F2 [HSA:2147] [KO:K01313]
D03137	DNA
D03144	NR3C4 (AR) [HSA:367] [KO:K08557]
D03145	NR3C4 (AR) [HSA:367] [KO:K08557]
D03150	PSMB5 [HSA:5693] [KO:K02737]
D03153	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
D03154	DHODH [HSA:1723] [KO:K00254]
D03155	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D03156	OPRM1 [HSA:4988] [KO:K04215]
D03158	HDC [HSA:3067] [KO:K01590]
D03163	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D03165	DRD2 [HSA:1813] [KO:K04145]
	PRL [HSA:5617] [KO:K05439]
D03166	HRH1 [HSA:3269] [KO:K04149]
D03170	ADRB2 [HSA:154] [KO:K04142]
D03177	ADRB1 [HSA:153] [KO:K04141]
	ADRB2 [HSA:154] [KO:K04142]
D03180	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D03187	PTGER2 [HSA:5732] [KO:K04259]
D03195	ADRB1 [HSA:153] [KO:K04141]
D03197	OPRK1 [HSA:4986] [KO:K04214]
	OPRM1 [HSA:4988] [KO:K04215]
D03198	ADRB2 [HSA:154] [KO:K04142]
D03203	CD80 [HSA:941] [KO:K05412]
	CD86 [HSA:942] [KO:K05413]
D03207	GAA* [HSA_VAR:2548v1] [HSA:2548] [KO:K12316]
D03208	REN [HSA:5972] [KO:K01380]
D03210	CCR5 (CD195) [HSA:1234] [KO:K04180]
D03211	beta-1,3-glucan synthase [KO:K00706]
D03212	ADORA2A [HSA:135] [KO:K04266]
D03213	F10 [HSA:2159] [KO:K01314]
D03214	DRD2 [HSA:1813] [KO:K04145]
	DRD3 [HSA:1814] [KO:K04146]
D03215	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
D03216	MLNR [HSA:2862] [KO:K05266]
D03217	PDE5 [HSA:8654] [KO:K13762]
D03218	VEGFR1 (FLT1) [HSA:2321] [KO:K05096]
	VEGFR2 (KDR) [HSA:3791] [KO:K05098]
	VEGFR3 (FLT4) [HSA:2324] [KO:K05097]
D03220	TOP2 [HSA:7153 7155] [KO:K03164]
D03221	TACR1 (NK1R) [HSA:6869] [KO:K04222]
D03222	CD80 [HSA:941] [KO:K05412]
	CD86 [HSA:942] [KO:K05413]
D03225	TOP1 [HSA:7150] [KO:K03163]
D03228	GLA* [HSA_VAR:2717v1] [HSA:2717] [KO:K01189]
D03229	DNA
D03230	INSR (CD220) [HSA:3643] [KO:K04527]
D03231	EPOR [HSA:2057] [KO:K05079]
D03232	EPOR [HSA:2057] [KO:K05079]
D03234	FDPS [HSA:2224] [KO:K00787]
D03235	CSF3R (GCSFR, CD114) [HSA:1441] [KO:K05061]
D03239	ACHE [HSA:43] [KO:K01049]
	BCHE [HSA:590] [KO:K01050]
	MAO [HSA:4128 4129] [KO:K00274]
D03240	DNA
D03241	COMT [HSA:1312] [KO:K00545]
D03245	CSF3R (GCSFR, CD114) [HSA:1441] [KO:K05061]
D03247	CSF3R (GCSFR, CD114) [HSA:1441] [KO:K05061]
D03248	MAOA [HSA:4128] [KO:K00274]
D03250	INSR (CD220) [HSA:3643] [KO:K04527]
D03252	ABL1 [HSA:25] [KO:K06619]
	SRC [HSA:6714] [KO:K05704]
D03253	HIV protease [KO:K22599]
D03254	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D03256	HCMV DNA polymerase [KO:K18964]
D03257	ERBB2* (HER2, CD340) [HSA_VAR:2064v1] [HSA:2064] [KO:K05083]
D03259	CD33 (SIGLEC3) [HSA:945] [KO:K06473]
D03260	PDE5 [HSA:8654] [KO:K13762]
D03262	30S ribosomal subunit
D03264	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D03267	GNRHR [HSA:2798] [KO:K04280]
D03269	PTGER2 [HSA:5732] [KO:K04259]
D03274	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	HRH1 [HSA:3269] [KO:K04149]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	DRD2 [HSA:1813] [KO:K04145]
	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D03276	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D03285	HRH1 [HSA:3269] [KO:K04149]
D03287	CALCR [HSA:799] [KO:K04576]
D03290	HRH1 [HSA:3269] [KO:K04149]
D03297	IGF1R (CD221) [HSA:3480] [KO:K05087]
	GHR [HSA:2690] [KO:K05080]
D03301	NR3C1 (GR) [HSA:2908] [KO:K05771]
D03304	IFNAR1 [HSA:3454] [KO:K05130]
	IFNAR2 [HSA:3455] [KO:K05131]
D03305	IFNAR1 [HSA:3454] [KO:K05130]
	IFNAR2 [HSA:3455] [KO:K05131]
D03325	NR3C1 (GR) [HSA:2908] [KO:K05771]
D03326	GHRHR [HSA:2692] [KO:K04584]
D03328	NPR1 [HSA:4881] [KO:K12323]
D03330	KNG1 [HSA:3827] [KO:K03898]
D03337	SERPINC1 (AT3) [HSA:462] [KO:K03911]
D03338	NR3C4 (AR) [HSA:367] [KO:K08557]
D03342	SI [HSA:6476] [KO:K01203]
D03343	LPL [HSA:4023] [KO:K01059]
	LIPC [HSA:3990] [KO:K22283]
D03349	MME (CD10) [HSA:4311] [KO:K01389]
D03350	EGFR [HSA:1956] [KO:K04361]
	ERBB2 (HER2, CD340) [HSA:2064] [KO:K05083]
	ERBB3 (HER3) [HSA:2065] [KO:K05084]
	ERBB4 (HER4) [HSA:2066] [KO:K05085]
D03351	DNA
D03353	SERPINC1 (AT3) [HSA:462] [KO:K03911]
D03357	IFNGR1 (CD119) [HSA:3459] [KO:K05132]
	IFNGR2 [HSA:3460] [KO:K05133]
D03358	PTH1R [HSA:5745] [KO:K04585]
D03359	P2RY12 [HSA:64805] [KO:K04298]
D03360	HRH1 [HSA:3269] [KO:K04149]
D03361	P2RY12 [HSA:64805] [KO:K04298]
D03363	NR3C2 (MR) [HSA:4306] [KO:K08555]
D03364	CA242
	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D03365	CHRN [HSA:1134 1135 1136 1137 1138 8973 1139 55584 57053 1140 1141 1142 1143 1144 1145 1146] [KO:K04803 K04804 K04805 K04806 K04807 K04808 K04809 K04810 K04811 K04812 K04813 K04814 K04815 K04816 K04817 K04818]
D03371	HIV-1 reverse transcriptase [KO:K24802]
D03372	FOLH1 (PSMA) [HSA:2346] [KO:K14592]
D03373	GHSR [HSA:2693] [KO:K04284]
D03378	RRM1 [HSA:6240] [KO:K10807]
D03387	penicillin binding protein
D03399	PTGFR [HSA:5737] [KO:K04262]
D03402	ADRB2 [HSA:154] [KO:K04142]
D03405	OPRM1 [HSA:4988] [KO:K04215]
D03406	SLC9A1 (NHE1) [HSA:6548] [KO:K05742]
D03409	MAO [HSA:4128 4129] [KO:K00274]
D03410	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D03415	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRB1 [HSA:153] [KO:K04141]
	ADRB2 [HSA:154] [KO:K04142]
D03416	DNA
D03420	CD4 [HSA:920] [KO:K06454]
D03421	penicillin binding protein
D03422	penicillin binding protein
D03423	penicillin binding protein
D03424	penicillin binding protein
D03425	penicillin binding protein
D03426	penicillin binding protein
D03427	penicillin binding protein
D03428	penicillin binding protein
D03429	penicillin binding protein
D03430	penicillin binding protein
D03431	penicillin binding protein
D03432	penicillin binding protein
D03433	HCV envelope glycoprotein [KO:K22272]
D03436	HBA [HSA:3039 3040] [KO:K13822]
	HBB [HSA:3043] [KO:K13823]
D03438	penicillin binding protein
D03439	penicillin binding protein
